,title,Published,Likes,View,Comment,monthn
175,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,490,20956,81,May
176,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,1936,54049,178,May
177,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,178,11230,55,May
178,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,4276,124547,193,May
179,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,147,3099,115,May
180,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,153,4494,74,May
181,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,49015,1391193,2000,May
182,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,196,5500,42,May
183,What You Need to Know for a Data Science Internship,2020-05-01,1169,21354,59,May
184,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,349,8325,54,Apr
185,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,460,14971,103,Apr
186,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,85,3099,24,Apr
187,5 Tips for Crushing the Work From Home Life,2020-04-20,202,5396,38,Apr
188,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,721,20270,126,Apr
189,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,709,28006,98,Apr
190,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,875,42183,151,Apr
191,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,1849,69718,209,Apr
192,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,1719,77056,277,Apr
193,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,3356,120724,616,Apr
194,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,4785,184630,170,Apr
195,When Data Science Goes Wrong,2020-03-30,105,1801,32,Mar
196,How to ULTRALEARN Data Science,2020-03-27,3821,61603,169,Mar
197,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,267,4380,50,Mar
198,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,461,12706,45,Mar
199,The Secret Data Scientists Don't Want You to Know,2020-03-16,1139,10675,105,Mar
200,The 5 Stages of Learning Data Science,2020-03-13,1297,17392,78,Mar
201,Can You Learn Data Science Without a Computer?,2020-03-11,109,1639,14,Mar
202,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,21118,343442,622,Mar
203,The Data Science Projects that Got Me a Job,2020-03-06,1395,40517,41,Mar
204,How to Integrate Data Science into Your Business,2020-03-02,126,3363,18,Mar
205,The Problem with Data Science,2020-02-28,154,3772,19,Feb
206,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,46,1147,16,Feb
207,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,2378,123015,97,Feb
208,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,17642,322281,523,Feb
209,Data Science Advice for College Students,2020-02-14,1964,68743,197,Feb
210,Avoid These Data Science Resume Mistakes!,2020-02-10,1236,28067,62,Feb
211,Data Science Explained with ... Cooking?,2020-02-07,312,5191,48,Feb
212,The 4 Types of Sports Analytics Projects,2020-02-03,983,29913,62,Feb
213,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,18,578,13,Jan
214,How I Learned Data Science,2020-01-27,2684,93739,210,Jan
215,What is Sports Analytics Really?,2020-01-20,605,20765,73,Jan
216,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,3117,110216,582,Jan
217,How To Learn Programming for Data Science [3 Steps],2020-01-13,1975,29977,96,Jan
218,Data Science Fundamentals: SQL Queries,2020-01-10,211,6313,35,Jan
219,Questions You Should Ask Your Data Science Interviewers,2020-01-06,150,3114,14,Jan
220,The 9 Books That Changed My Perspective in 2019,2020-01-03,179,3372,25,Jan
221,The Data Science Interview: What to Expect,2019-12-30,375,8415,32,Dec
222,5 Data Science Resolutions for 2020,2019-12-27,25,474,12,Dec
223,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,572,16420,92,Dec
224,Collision Course: Sports Betting + Data Science,2019-12-20,484,17083,27,Dec
225,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,2937,100827,204,Dec
226,5 Sports Analytics Books to Get You Started,2019-12-13,404,10610,57,Dec
227,Math Needed for Mastering Data Science,2019-12-09,2851,55995,222,Dec
228,The 5 Stages of Data Science Adoption,2019-12-06,68,1313,17,Dec
229,How YOU Can Land a Sports Analytics Job,2019-12-02,3031,68178,231,Dec
230,Data Science Fundamentals: Linear Regression,2019-11-29,172,6289,42,Nov
231,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,53,1048,12,Nov
232,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,268,5933,26,Nov
233,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,1751,45976,80,Nov
234,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,137,5911,31,Nov
235,Why Selling Is An Important Data Science Skill,2019-11-04,79,1616,13,Nov
236,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,73,2802,18,Oct
237,Why is Balance Important in Data Science?,2019-10-16,32,701,13,Oct
238,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,581,11797,54,Sep
239,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,115,3774,33,Sep
240,6 Habits of Successful Data Scientists,2019-09-13,95,2204,17,Sep
241,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,101,4469,9,Sep
242,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,24,518,29,Aug
243,Is Data Science Right For You?,2019-08-18,1170,50383,109,Aug
244,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,391,14706,55,Aug
245,How To Get Data Science Experience (Without a Job),2019-08-08,1383,29206,75,Aug
246,Take Your Data Science Projects From Good to Great,2019-08-05,107,1595,11,Aug
247,The Projects You Should Do To Get A Data Science Job,2019-07-30,5688,149400,254,Jul
248,What Does a Data Scientist Actually Do?,2019-07-19,1258,45480,81,Jul
249,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,351,12819,42,Jul
250,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,524,17698,61,Jul
251,Data Science: Pros and Cons,2019-06-30,214,5168,18,Jun
252,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,1182,24355,89,Jun
253,My Top 5 Data Science Internship Tips,2019-06-15,491,11804,23,Jun
254,Golf STATS: Strokes Gained Explained,2019-06-07,148,7264,28,Jun
255,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,44,615,5,May
256,What I Learned From My Three Degrees,2019-05-17,60,1251,12,May
257,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,1071,25630,66,May
258,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,40,1237,2,May
259,Should You Learn R for Data Science?,2019-04-25,552,20632,69,Apr
260,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,855,46319,334,Apr
261,Work From Home Data Scientist: Day in the Life,2019-04-12,762,28053,101,Apr
262,Where to Look for Data Science Jobs,2019-03-29,120,3000,9,Mar
263,Data Science: Startup vs. Large Corporation,2019-03-21,74,2105,4,Mar
264,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,174,6119,26,Mar
265,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,180,4158,15,Mar
266,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,33,798,12,Mar
267,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,35,1427,8,Mar
268,Where YOU Should Start With Data Science Projects,2019-02-19,340,16405,17,Feb
269,Watch This Before Applying to Data Science Jobs,2019-02-04,66,1485,13,Feb
270,My Top 5 Data Science Resources for 2019,2019-01-05,121,3683,17,Jan
271,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,37,830,6,Dec
272,The Best Way to Predict NBA Minutes Played,2018-12-11,107,4202,14,Dec
273,Demystifying Data Science Roles,2018-11-30,54,1129,5,Nov
274,How to Simulate NBA Games in Python,2018-11-19,391,17567,54,Nov
275,Should You Get A Masters in Data Science?,2018-11-14,306,20493,135,Nov
276,How I Became A Data Scientist From a Business Background,2018-11-12,198,6410,23,Nov
277,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,193,8612,17,Jul
278,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,292,18832,41,Nov
